,Designer Names,Plays,Number of Plays,Tony?,Number of Tony Nominations/Wins
381,joan personette,"['two on the aisle', 'hellzapoppin']",2,0,0
382,michael s philippi,"['desire under the elms', 'death of a salesman', 'the speed of darkness']",3,0,0
383,andy phillips,"['', 'm butterfly', 'the glass menagerie', 'rose', 'one night stand', 'the merchant', 'the misanthrope', 'equus']",8,0,0
384,arianne phillips,"['head over heels', 'hedwig and the angry inch']",2,0,0
385,robin phillips,"['jekyll hyde', 'abelard and heloise']",2,0,0
386,wendell k phillips,"['the crucible', 'the investigation', 'the changeling', 'a case of libel', 'the solid gold cadillac', 'the small hours', 'anne of the thousand days', 'war president', 'south pacific', 'the petrified forest', 'r u r', 'yours a lincoln', 'comes the revelation', 'the fifth column', 'abe lincoln in illinois', 'many mansions', 'case of clyde griffiths', 'mother sings', 'waiting for lefty', 'till the day i die', 'sailors of cattaro', 'black diamond', 'fantasia', 'sweeney todd']",24,0,0
387,joseph a physioc,"['a noble rogue', 'dracula', 'the matinee girl', 'jimmie', 'tickle me', 'ed wynns carnival', 'the lady in red', 'tumble in', 'rock a bye baby', 'the love mill', 'doing our bit', 'the third degree', 'the patriot', 'the call of the north', 'the traveling salesman', 'father and the boys', 'the chorus lady', 'the walls of jericho', 'the chorus lady', 'cashel byron', 'the lion and the mouse', 'the walls of jericho', 'strongheart', 'when we were forty one', 'strongheart', 'sunday', 'checkers', 'a venetian romance', 'tit for tat', 'checkers', 'that man and i', 'the office boy', 'hearts courageous', 'checkers', 'arrah na pogue', 'vivians papas', 'the earl of pawtucket', 'resurrection', 'the frisky mrs johnson', 'gretna green', 'fad and folly', 'the stubbornness of geraldine', 'tommy rot', 'mrs jack', 'soldiers of fortune', 'the lady of lyons', 'the last appeal', 'a modern magdalen', 'soldiers of fortune', 'miss simplicity', 'the bonnie brier bush', 'tom moore', 'king washington', 'the climbers', 'star and garter', 'the belle of bohemia', 'the rebel', 'the singing girl', 'the last of the rohans', 'the ragged earl', 'the fortune teller']",61,0,0
388,picasso,['three cornered hat'],1,0,0
389,richard pilbrow,"['a tale of two cities', 'our town', 'the life', 'show boat', 'tango pasion', 'four baboons adoring the sun', 'shelter', 'the rothschilds', 'zorba', 'rosencrantz and guildenstern are dead', 'golden boy']",11,0,0
390,john piper,"['cranks', 'the rape of lucretia', 'oedipus rex']",3,0,0
391,dede pochos,['wilder wilder wilder'],1,0,0
392,lester polakov,"['charlotte', 'great day in the morning', 'i knock at the door', 'the skin of our teeth', 'the winner', 'the emperors clothes', 'mrs mcthing', 'the little blue light', 'the golden state', 'the member of the wedding', 'crime and punishment', 'call me mister', 'lady in the dark', 'crazy with the heat', 'lady in the dark', 'crazy with the heat', 'reunion in new york', 'the mother']",18,0,0
393,helen pond,"['oh coward', 'show boat', 'macbeth', 'a musical jubilee', 'no sex please were british', 'only fools are sad', 'nol cowards sweet potato', 'roar like a dove', 'what makes sammy run', 'double dublin']",10,0,0
394,helene pons,"['love and kisses', 'daughter of silence', 'sail away', 'semi detached', 'a lovely light', 'epitaph for george dillon', 'maria golovin', 'epitaph for george dillon', 'monique', 'romanoff and juliet', 'holiday for lovers', 'my fair lady', 'the heavenly twins', 'the diary of anne frank', 'a view from the bridge  a memory of two mondays', 'the skin of our teeth', 'anastasia', 'the time of the cuckoo', 'paris', 'hedda gabler', 'the men we marry', 'duet for two hands', 'how i wonder', 'portrait in black', 'the three sisters', 'angel street', 'the distant city', 'watch on the rhine', 'five alarm waltz', 'the flying gerardos', 'ladies in retirement', 'two on an island', 'the primrose path', 'madame capet', 'escape this night', 'how to get tough about it', 'our town', 'shadow and substance', 'edna his wife', 'brown sugar', 'babes in arms', 'the golden journey', 'mansion on the hudson', 'run little chillun', 'hey nonny nonny', 'berkeley square', 'the age of innocence', 'macbeth', 'the cherry orchard']",49,0,0
395,wakefield poole,"['bring back birdie', 'dear world', 'george m', 'do i hear a waltz', 'the girl who came to supper', 'no strings', 'the unsinkable molly brown', 'tenderloin', 'finians rainbow']",9,0,0
396,nananne porcher,"['west side story', 'awakening', 'treemonisha', 'ari', 'jerome robbins ballet usa']",5,0,0
397,mike porter,['censored scenes from king kong'],1,0,0
398,nancy potts,"['porgy and bess', 'you cant take it with you', 'do black patent leather shoes really reflect up', 'the curse of an aching heart', 'einstein and the polar bear', 'lolita', 'the philadelphia story', 'i ought to be in pictures', 'children of a lesser god', 'the most happy fella', 'hair', 'porgy and bess', 'the time of your life', 'edward ii', 'the rules of the game', 'whos who in hell', 'chemin de fer', 'veronicas room', 'a streetcar named desire', 'a streetcar named desire', 'medea', 'don juan', 'the selling of the president', 'the grass harp', 'the school for wives', 'harvey', 'la strada', 'hamlet', 'cock a doodle dandy', 'the misanthrope', 'the cocktail party', 'the show off', 'hair', 'the cherry orchard', 'exit the king', 'the show off', 'pantagleize', 'war and peace', 'you cant take it with you', 'the wild duck', 'we comrades three', 'right you are if you think you are', 'the school for scandal', 'you cant take it with you']",44,0,0
399,anthony powell,"['sunset boulevard', 'the adventures of tom sawyer', 'sunset boulevard', 'lettice and lovage', 'private lives', 'the school for scandal']",6,1,1
400,john pratt,"['katherine dunham and her company', 'katherine dunham and her company', 'look ma im dancin', 'bal negre', 'tropical revue', 'the swing mikado']",6,0,0
401,shirley prendergast,"['paul robeson', 'paul robeson', 'dont get god started', 'amen corner', 'waltz of the stork', 'a meeting by the river', 'working', 'an almost perfect person', 'anna christie', 'rex', 'a matter of gravity', 'wheres charley', 'veronicas room', 'the river niger', 'purlie']",15,0,0
402,vincent prestia,"['play me a country song', 'camelot', 'camelot', 'the grand tour', 'gypsy', 'a patriot for me', 'dear world']",7,0,0
403,robert prevost,"['an evening of', 'le malade imaginaire']",2,0,0
404,paul pyant,"['the woman in white', 'primo', 'electra', 'arcadia', 'carousel', 'orpheus descending']",6,0,0
405,dunya ramicova,"['ah wilderness', 'grown ups']",2,0,0
406,phil ramone,"['lizas at the palace', 'raffi', 'peg', 'the magic show', 'liza']",5,0,0
407,robert randolph,"['sweet charity', 'seven brides for seven brothers', 'little johnny jones', 'porgy and bess', 'the norman conquests living together', 'the norman conquests round and round the garden', 'the norman conquests table manners', 'we interrupt this program', 'gypsy', 'words music', 'good evening', 'no hard feelings', '', 'ari', 'applause', 'angela', 'a teaspoon every four hours', 'golden rainbow', 'how to be a jewish mother', 'henry sweet henry', 'sherry', 'walking happy', 'its a birdits a planeits superman', 'sweet charity', 'anya', 'skyscraper', 'xmas in las vegas', 'minor miracle', 'something more', 'funny girl', 'any wednesday', 'foxy', 'sophie', 'little me', 'calculated risk', 'bravo giovanni', 'how to succeed in business without really trying', 'tenderloin', 'the wall', 'bye bye birdie', 'heartbreak house', 'ziegfeld follies of', 'a hole in the head', 'small war on murray hill', 'the happiest millionaire', 'the desperate hours', 'the saint of bleecker street']",47,1,7
408,robert rauschenberg,['merce cunningham and dance company'],1,0,0
409,jaroslaw regulski,['metro'],1,0,0
410,alexander reid,"['carrie', 'cyrano de bergerac', 'much ado about nothing']",3,0,0
411,wade reynolds,['the world of suzie wong'],1,0,0
412,nick rhodes,['duran duran red carpet massacre'],1,0,0
413,charles ricketts,"['the mikado', 'the mikado', 'the mikado', 'the gondoliers', 'cox and box  hms pinafore', 'the mikado', 'the mikado', 'trial by jury', 'hms pinafore', 'iolanthe', 'the gondoliers']",11,0,0
414,kevin rigdon,"['one flew over the cuckoos nest', 'the old neighborhood', 'buried child', 'the rise and fall of little voice', 'the song of jacob zulu', 'a streetcar named desire', 'the grapes of wrath', 'ghetto', 'our town', 'speed the plow', 'the caretaker', 'glengarry glen ross']",12,1,1
415,ralph riggs,"['trial by jury hms pinafore', 'the pirates of penzance', 'the mikado', 'flamingo road', 'oklahoma', 'louisiana purchase', 'yokel boy', 'how to get tough about it', 'the show is on', 'how beautiful with shoes', 'parade', 'the farmer takes a wife', 'let em eat cake', 'of thee i sing', 'of thee i sing', 'oh ernest', 'nic nax of', 'kosher kitty kelly', 'the grab bag', 'cinders', 'the passing show of', 'the princess pat', 'all aboard', 'the enchantress']",24,0,0
416,william ritman,"['the corn is green', 'the supporting cast', 'lolita', 'onward victoria', 'the roast', 'mornings at seven', 'last licks', 'once a catholic', 'tribute', 'deathtrap', 'chapter two', 'the eccentricities of a nightingale', 'california suite', 'whos afraid of virginia woolf', 'zalmen or the madness of god', 'p s your cat is dead', 'same time next year', 'gods favorite', 'my fat friend', 'nol coward in two keys', 'find your way home', 'the last of mrs lincoln', '', 'an evening with richard nixon and', 'moonchildren', 'the sign in sidney brusteins window', 'sleuth', 'bob and ray  the two and only', 'the mundy scheme', 'the penny wars', 'the gingham dog', 'play it again sam', 'we bombed in new haven', 'happy days', 'krapps last tape  the zoo story', 'the death of bessie smith  the american dream', 'box  quotations from chairman mao tse tung', 'lovers', 'loot', 'everything in the garden', 'the promise', 'johnny no trump', 'the birthday party', 'come live with me', 'the killing of sister george', 'a delicate balance', 'malcolm', 'entertaining mr sloane', 'tiny alice', 'absence of a cello', 'the riot act', 'whos afraid of virginia woolf']",52,1,1
417,william riva,['the telephone  the medium'],1,0,0
418,carrie f robbins,"['irving berlins white christmas', 'irving berlins white christmas', 'a class act', 'the shadow box', 'anna karenina', 'raggedy ann', 'the boys of winter', 'the octette bridge club', 'agnes of god', 'the first', 'it had to be you', 'macbeth', 'frankenstein', 'fearless frank', 'happy end', 'yentl', 'truckload', 'over here', 'the beggars opera', 'the iceman cometh', 'molly', 'let me hear you smile', 'the plough and the stars', 'the secret affairs of mildred wild', 'the crucible', 'grease', 'narrow road to the deep north', 'an enemy of the people', 'the good woman of setzuan', 'look to the lilies', 'the time of your life', 'leda had a little swan']",32,0,0
419,martin p robinson,"['the frogs', 'little shop of horrors']",2,0,0
420,emeline c roche,"['charleys aunt', 'richard iii', 'the shrike', 'cyrano de bergerac', 'anna christie', 'idiots delight', 'dream girl', 'the royal family', 'the devils disciple', 'the heiress', 'as you like it', 'the corn is green', 'she stoops to conquer', 'gayden', 'red gloves', 'goodbye my fancy', 'the insect comedy', 's s glencairn', 'the alchemist', 'angel street', 'volpone', 'love goes to press', 'loco', 'flamingo road', 'state of the union', 'deep are the roots', 'pick up girl', 'jacobowsky and the colonel', 'mr sycamore', 'papa is all', 'eye on the sparrow', 'achilles had a heel']",32,0,0
421,david rockwell,"['tootsie', 'kiss me kate', 'the nap', 'pretty woman the musical', 'lobby hero', 'the terms of my surrender', 'falsettos', 'she loves me', 'on your feet', 'sylvia', 'on the twentieth century', 'side show', 'you cant take it with you', 'kinky boots', 'lucky guy', 'dead accounts', 'elf', 'harvey', 'the normal heart', 'catch me if you can', 'a free man of color', 'elf', 'legally blonde', 'all shook up', 'dirty rotten scoundrels', 'hairspray', 'the rocky horror show']",27,1,1
422,domingo a rodriguez,"['show boat', 'kiss of the spider woman', 'city of angels', 'the basic training of pavlo hummel', 'pacific overtures', 'sugar', 'follies', 'trumpets of the lord', 'the sudden accidental re education of horse johnson', 'zorba', 'lovers and other strangers', 'after the rain', 'its a birdits a planeits superman', 'anya', 'abraham cochrane', 'the passion of josef d', 'gideon', 'the devils advocate', 'all the way home']",19,0,0
423,joaquin romaguera,"['peter pan', 'sweeney todd']",2,0,0
424,constanza romero,"['the mountaintop', 'fences', 'gem of the ocean', 'seven guitars', 'the piano lesson']",5,0,0
425,john root,"['not for children', 'mr barrys etchings', 'love me long', 'mrs gibbons boys', 'tenting tonight', 'it takes two', 'a boy who lived twice', 'harvey', 'snafu', 'a highland fling', 'doctors disagree', 'pillar to post', 'get away old man', 'kiss and tell', 'counterattack', 'nine girls', 'janie', 'the cat screams', 'jason', 'cuckoos on the hearth', 'glamour preferred', 'george washington slept here', 'out from under', 'lady in waiting', 'ring two', 'sea dogs', 'pastoral', 'brown danube', 'run sheep run', 'kiss the boys good bye', 'all that glitters', 'the greatest show on earth', 'one thing after another', 'angel island', 'red harvest', 'chalked out', 'sun kissed', 'now youve done it', 'so proudly we hail', 'seen but not heard', 'hell freezes over', 'theres wisdom in women', 'crime marches on', 'substitute for murder', 'if this be treason', 'ceiling zero', 'cross ruff', 'piper paid', 'personal appearance']",49,0,0
